pass tile     nadir-lat-start(deg)     nadir-lon-start(deg)     nadir-hdg-start(deg) //Cal_orbit
0001 0288    72.664492019999997297    61.391132370000008223    44.960635320000001514
0001 0289    73.065293559999986428    62.782686810000001287    46.370062160000003360
0001 0290    73.455627190000001292    64.240695689999995466    47.846096979999998666
0001 0291    73.834736340000020505    65.768021149999995600    49.391594279999999628
0001 0292    74.201814699999999903    67.367409710000003997    51.009292919999992932
0001 0293    74.556006039999999757    69.041423480000020163    52.701747359999998821
0001 0294    74.896405340000001161    70.792359399999995162    54.471246870000008755
0001 0295    75.222061049999993543    72.622155499999990980    56.319721860000001357
0001 0296    75.531979079999999271    74.532284829999994713    58.248637700000010398
0001 0297    75.825128559999996014    76.523638889999986645    60.258878259999995919
0001 0298    76.100449839999996016    78.596402319999995711    62.350620530000000485
0001 0299    76.356864840000000072    80.749924260000014442    64.523206009999995558
0001 0300    76.593289900000002035    82.982591510000005997    66.775013849999979243
0001 0301    76.808651269999998590    85.291711599999999294    69.103343949999995743
0001 0302    77.001902909999998315    87.673414739999984135    71.504318870000005859
0001 0303    77.172046460000004231    90.122585380000018063    73.972815420000003428
0001 0304    77.318152590000011060    92.632832759999985228    76.502435210000001575
0001 0305    77.439383140000003891    95.196511520000001383    79.085525239999995506
0001 0306    77.535012870000002749    97.804797320000005811    81.713253530000002911
0001 0307    77.604449689999995599   100.447821840000003135    84.375744119999993131
0001 0308    77.647252199999996947   103.114865629999997054    87.062269929999985152
0002 0001    77.663248699999996916   106.031384650000006786    90.000000000000000000
0002 0002    77.647252199999996947   108.947903670000002307    92.937730070000000637
0002 0003    77.604449689999995599   111.614947459999982016    95.624255880000006869
0002 0004    77.535012870000002749   114.257971979999979339    98.286746469999997089
0002 0005    77.439383140000003891   116.866257770000004257   100.914474760000004494
0002 0006    77.318152590000011060   119.429936539999999923   103.497564789999998425
0002 0007    77.172046460000004231   121.940183919999967088   106.027184580000010783
0002 0008    77.001902909999998315   124.389354560000001015   108.495681129999994141
0002 0009    76.808651269999998590   126.771057690000034768   110.896656050000004257
0002 0010    76.593289900000002035   129.080177789999993365   113.224986150000006546
0002 0011    76.356864840000000072   131.312845039999984920   115.476793990000004442
0002 0012    76.100449839999996016   133.466366969999995717   117.649379469999999515
0002 0013    75.825128559999996014   135.539130400000004784   119.741121740000011187
0002 0014    75.531979079999999271   137.530484470000004649   121.751362299999996708
0002 0015    75.222061049999993543   139.440613799999994171   123.680278139999998643
0002 0016    74.896405340000001161   141.270409900000004200   125.528753129999998350
0002 0017    74.556006039999999757   143.021345819999993410   127.298252640000001179
0002 0018    74.201814699999999903   144.695359589999981154   128.990707079999992857
0002 0019    73.834736340000020505   146.294748150000003761   130.608405720000007477
0002 0020    73.455627190000001292   147.822073610000018107   132.153903020000001334
0002 0021    73.065293559999986428   149.280082490000012285   133.629937839999996640
0002 0022    72.664492019999997297   150.671636930000033772   135.039364680000005592
0002 0023    72.253930159999995908   151.999657899999988331   136.385096819999972695
0002 0024    71.834267980000007014   153.267079270000010638   137.670060479999989411
0002 0025    71.406119970000005992   154.476810319999998455   138.897157270000008111
0002 0026    70.970057100000005335   155.631707489999996596   140.069235950000035018
0002 0027    70.526609280000002400   156.734552390000004607   141.189070460000039020
0002 0028    70.076267839999999865   157.788035579999984748   142.259343689999980143
0002 0029    69.619487919999997416   158.794745749999975715   143.282636630000041578
0002 0030    69.156690990000001307   159.757162040000025627   144.261420750000013413
0002 0031    68.688267240000001834   160.677649930000001177   145.198053820000012593
0002 0032    68.214577760000011608   161.558459690000006503   146.094778429999990976
0002 0033    67.735956810000004680   162.401726400000001149   146.953721940000008317
0002 0034    67.252713849999992135   163.209471699999994598   147.776898299999999153
0002 0035    66.765135419999992905   163.983606680000008282   148.566210860000040839
0002 0036    66.273486969999993335   164.725935270000007904   149.323455859999995710
0002 0037    65.778014490000003889   165.438158619999995835   150.050326710000007324
0002 0038    65.278946059999995555   166.121879419999970651   150.748418359999988070
0002 0039    64.776493369999997185   166.778606609999997090   151.419232020000038119
0002 0040    64.270852820000001770   167.409760379999994484   152.064180109999995238
0002 0041    63.762206970000001149   168.016676670000009608   152.684590839999970058
0002 0042    63.250725420000009080   168.600612229999995861   153.281713170000017499
0002 0043    62.736566029999991656   169.162748949999979686   153.856721240000013040
0002 0044    62.219875739999984887   169.704198459999986426   154.410718870000010838
0002 0045    61.700791389999999126   170.226006399999988616   154.944743920000007620
0002 0046    61.179440689999999847   170.729156399999993710   155.459772210000011228
0002 0047    60.655942680000016765   171.214574129999988372   155.956721609999988232
0002 0048    60.130408610000010583   171.683130799999986493   156.436455479999978024
0002 0049    59.602942410000004259   172.135646720000011101   156.899786290000008648
0002 0050    59.073641289999997639   172.572894520000005514   157.347478819999992083
0002 0051    58.542596310000007520   172.995602170000012165   157.780253179999988333
0002 0052    58.009892680000000098   173.404455959999978631   158.198787760000016078
0002 0053    57.475610349999996629   173.800103040000038845   158.603721839999991516
0002 0054    56.939824360000002912   174.183154010000009748   158.995658109999965291
0002 0055    56.402605100000002381   174.554185310000008258   159.375165039999984629
0002 0056    55.864018729999990853   174.913741289999990158   159.742779079999991154
0002 0057    55.324127570000001697   175.262336309999994910   160.099006599999995615
0002 0058    54.782990179999998759   175.600456659999991871   160.444325919999982943
0002 0059    54.240661740000007285   175.928562319999997499   160.779189019999989796
0002 0060    53.697194289999998773   176.247088590000004160   161.104023170000033360
0002 0061    53.152636890000003689   176.556447690000027251   161.419232539999995879
0002 0062    52.607035860000003424   176.857030119999990347   161.725199580000008837
0002 0063    52.060434989999997413   177.149206050000003643   162.022286369999989120
0002 0064    51.512875649999998018   177.433326590000007172   162.310835889999992787
0002 0065    50.964396979999996518   177.709724880000010216   162.591173160000010967
0002 0066    50.415036039999996831   177.978717230000000882   162.863606330000010303
0002 0067    49.864827960000006613   178.240604149999995798   163.128427689999995209
0002 0068    49.313806030000002067   178.495671219999991308   163.385914630000002035
0002 0069    48.762001810000001001   178.744190059999993991   163.636330500000013899
0002 0070    48.209445299999998724   178.986419089999998278   163.879925450000001774
0002 0071    47.656165020000003096   179.222604310000008354   164.116937159999991991
0002 0072    47.102187990000004447   179.452980080000003227   164.347591630000010809
0002 0073    46.547540040000001227   179.677769670000003543   164.572103779999991957
0002 0074    45.992245670000002633   179.897186020000020790   164.790678100000008044
0002 0075    45.436328220000000044  -179.888567749999964462   165.003509280000002946
0002 0076    44.879810020000007853  -179.679297789999992574   165.210782669999986183
0002 0077    44.322712250000002143  -179.474818940000005796   165.412674869999989369
0002 0078    43.765055240000002357  -179.274954360000009501   165.609354179999996859
0002 0079    43.206858339999989482  -179.079534940000002052   165.800981059999969602
0002 0080    42.648140030000000422  -178.888398980000005167   165.987708550000007790
0002 0081    42.088918030000002091  -178.701391770000014958   166.169682660000006535
0002 0082    41.529209270000002618  -178.518365170000009812   166.347042750000014166
0002 0083    40.969029980000001956  -178.339177309999996623   166.519921879999998282
0002 0084    40.408395679999998151  -178.163692260000033230   166.688447129999985918
0002 0085    39.847321270000001903  -177.991779659999991736   166.852739930000012691
0002 0086    39.285821060000010618  -177.823314509999988786   167.012916289999992614
0002 0087    38.723908749999999657  -177.658176840000010088   167.169087170000040032
0002 0088    38.161597499999999172  -177.496251449999988381   167.321358649999979207
0002 0089    37.598900020000002087  -177.337427730000001702   167.469832200000013245
0002 0090    37.035828469999998447  -177.181599340000019538   167.614604930000012928
0002 0091    36.472394549999997082  -177.028664060000011204   167.755769779999980074
0002 0092    35.908609619999992901  -176.878523569999998699   167.893415690000011864
0002 0093    35.344484469999997600  -176.731083219999987932   168.027627889999990884
0002 0094    34.780029659999996738  -176.586251930000003085   168.158487960000002204
0002 0095    34.215255280000000937  -176.443941929999994045   168.286074079999991682
0002 0096    33.650171090000007723  -176.304068639999997004   168.410461169999962294
0002 0097    33.084786559999997735  -176.166550529999994978   168.531721000000004551
0002 0098    32.519110779999998329  -176.031308940000002394   168.649922420000024204
0002 0099    31.953152599999999239  -175.898267980000014177   168.765131400000001349
0002 0100    31.386920560000000080  -175.767354360000013003   168.877411199999983182
0002 0101    30.820422909999997785  -175.638497279999995726   168.986822530000011966
